Year,Company,Corpus,text_length,Corpus_token,Corpus_string,Corpus_string_fdist,Corpus_string_lem,is_equal,neg,neu,pos,compound,Sentiment
2019,Facebook,i'm using facebook less these days. the platform has become too cluttered with ads and irrelevant content.,106,"['using', 'facebook', 'less', 'days', 'platform', 'become', 'cluttered', 'ads', 'irrelevant', 'content']",using facebook less days platform become cluttered ads irrelevant content,using facebook less days platform become cluttered ads irrelevant content,using facebook less days platform become cluttered ads irrelevant content,True,0.0,1.0,0.0,0.0,neutral
2016,Microsoft,microsoft's surface pro is the perfect combination of a laptop and tablet. it's versatile and powerful.,103,"['microsoft', 'surface', 'pro', 'perfect', 'combination', 'laptop', 'tablet', 'versatile', 'powerful']",microsoft surface pro perfect combination laptop tablet versatile powerful,microsoft surface pro perfect combination laptop tablet versatile powerful,microsoft surface pro perfect combination laptop tablet versatile powerful,True,0.0,0.519,0.481,0.7579,positive
2017,Apple,apple's ecosystem is seamless. it's so convenient to have all my devices synced and connected.,94,"['apple', 'ecosystem', 'seamless', 'convenient', 'devices', 'synced', 'connected']",apple ecosystem seamless convenient devices synced connected,apple ecosystem seamless convenient devices synced connected,apple ecosystem seamless convenient devices synced connected,True,0.0,1.0,0.0,0.0,neutral
2018,Tesla,i'm concerned about tesla's production delays. it's affecting their ability to meet customer demand.,100,"['concerned', 'tesla', 'production', 'delays', 'affecting', 'ability', 'meet', 'customer', 'demand']",concerned tesla production delays affecting ability meet customer demand,concerned tesla production delays affecting ability meet customer demand,concerned tesla production delays affecting ability meet customer demand,True,0.139,0.648,0.213,0.2023,positive
2019,Google,google's search engine is my go-to for finding information. it's fast and provides relevant results.,100,"['google', 'search', 'engine', 'go', 'finding', 'information', 'fast', 'provides', 'relevant', 'results']",google search engine finding information fast provides relevant results,google search engine finding information fast provides relevant results,google search engine finding information fast provides relevant results,True,0.0,1.0,0.0,0.0,neutral
2015,Amazon,just received my package from amazon and i'm thrilled with my purchase. their fast shipping never disappoints!,110,"['received', 'package', 'amazon', 'thrilled', 'purchase', 'fast', 'shipping', 'never', 'disappoints']",received package amazon thrilled purchase fast shipping never disappoints,received package amazon thrilled purchase fast shipping never disappoints,received package amazon thrilled purchase fast shipping never disappoints,True,0.0,0.469,0.531,0.6988,positive
2016,Twitter,i'm not sure how i feel about twitter's recent update. it takes some getting used to.,85,"['sure', 'feel', 'twitter', 'recent', 'update', 'takes', 'getting', 'used']",sure feel twitter recent update takes getting used,sure feel twitter recent update takes getting used,sure feel twitter recent update takes getting used,True,0.0,0.753,0.247,0.3182,positive
2017,Coca-Cola,"nothing beats the refreshing taste of coca-cola. it's my favorite drink, especially on a hot summer day.",104,"['nothing', 'beats', 'refreshing', 'taste', 'coca', 'cola', 'favorite', 'drink', 'especially', 'hot', 'summer', 'day']",nothing beats refreshing taste coca cola favorite drink especially hot summer day,nothing beats refreshing taste coca cola favorite drink especially hot summer day,nothing beats refreshing taste coca cola favorite drink especially hot summer day,True,0.0,0.786,0.214,0.4588,positive
2018,McDonald's,craving some mcdonald's fries right now. they're always the perfect combination of crispy and salty.,100,"['craving', 'mcdonald', 'fries', 'right', 'always', 'perfect', 'combination', 'crispy', 'salty']",craving mcdonald fries right always perfect combination crispy salty,craving mcdonald fries right always perfect combination crispy salty,craving mcdonald fries right always perfect combination crispy salty,True,0.0,0.684,0.316,0.5719,positive
2019,Disney,just watched the latest disney movie and it was magical. they never fail to deliver great storytelling.,103,"['watched', 'latest', 'disney', 'movie', 'magical', 'never', 'fail', 'deliver', 'great', 'storytelling']",watched latest disney movie magical never fail deliver great storytelling,watched latest disney movie magical never fail deliver great storytelling,watched latest disney movie magical never fail deliver great storytelling,True,0.233,0.566,0.201,-0.1139,negative
2016,Starbucks,starting my day with a cup of starbucks coffee is the best way to kickstart my mornings.,88,"['starting', 'day', 'cup', 'starbucks', 'coffee', 'best', 'way', 'kickstart', 'mornings']",starting day cup starbucks coffee best way kickstart mornings,starting day cup starbucks coffee best way kickstart mornings,starting day cup starbucks coffee best way kickstart mornings,True,0.0,0.656,0.344,0.6369,positive
2017,Nike,nike's new sneakers are so stylish. i can't wait to add them to my collection.,78,"['nike', 'new', 'sneakers', 'stylish', 'wait', 'add', 'collection']",nike new sneakers stylish wait add collection,nike new sneakers stylish wait add collection,nike new sneakers stylish wait add collection,True,0.0,1.0,0.0,0.0,neutral
2018,PepsiCo,"i tried pepsico's new beverage, and i have to say, i wasn't impressed. it lacked flavor.",88,"['tried', 'pepsico', 'new', 'beverage', 'say', 'impressed', 'lacked', 'flavor']",tried pepsico new beverage say impressed lacked flavor,tried pepsico new beverage say impressed lacked flavor,tried pepsico new beverage say impressed lacked flavor,True,0.0,0.693,0.307,0.4767,positive
2019,McDonald's,mcdonald's breakfast menu is my guilty pleasure. their egg mcmuffin is the perfect morning treat.,97,"['mcdonald', 'breakfast', 'menu', 'guilty', 'pleasure', 'egg', 'mcmuffin', 'perfect', 'morning', 'treat']",mcdonald breakfast menu guilty pleasure egg mcmuffin perfect morning treat,mcdonald breakfast menu guilty pleasure egg mcmuffin perfect morning treat,mcdonald breakfast menu guilty pleasure egg mcmuffin perfect morning treat,True,0.148,0.317,0.534,0.8074,positive
2016,Coca-Cola,coca-cola's holiday-themed commercials always put me in a festive mood. they're so heartwarming.,96,"['coca', 'cola', 'holiday', 'themed', 'commercials', 'always', 'put', 'festive', 'mood', 'heartwarming']",coca cola holiday themed commercials always put festive mood heartwarming,coca cola holiday themed commercials always put festive mood heartwarming,coca cola holiday themed commercials always put festive mood heartwarming,True,0.0,0.443,0.557,0.8316,positive
2017,Disney,just booked my tickets to disneyland. it's going to be an unforgettable experience.,83,"['booked', 'tickets', 'disneyland', 'going', 'unforgettable', 'experience']",booked tickets disneyland going unforgettable experience,booked tickets disneyland going unforgettable experience,booked tickets disneyland going unforgettable experience,True,0.0,1.0,0.0,0.0,neutral
2018,Starbucks,"i enjoy starbucks' coffee, but their prices can be a bit steep.",63,"['enjoy', 'starbucks', 'coffee', 'prices', 'bit', 'steep']",enjoy starbucks coffee prices bit steep,enjoy starbucks coffee prices bit steep,enjoy starbucks coffee prices bit steep,True,0.0,0.61,0.39,0.4939,positive
2019,Nike,nike's sportswear is both stylish and comfortable. it motivates me to stay active.,82,"['nike', 'sportswear', 'stylish', 'comfortable', 'motivates', 'stay', 'active']",nike sportswear stylish comfortable motivates stay active,nike sportswear stylish comfortable motivates stay active,nike sportswear stylish comfortable motivates stay active,True,0.0,0.455,0.545,0.7184,positive
2016,PepsiCo,pepsico's new flavor is a game-changer. it's refreshing and has a unique twist.,79,"['pepsico', 'new', 'flavor', 'game', 'changer', 'refreshing', 'unique', 'twist']",pepsico new flavor game changer refreshing unique twist,pepsico new flavor game changer refreshing unique twist,pepsico new flavor game changer refreshing unique twist,True,0.0,1.0,0.0,0.0,neutral
2017,Starbucks,"starbucks' seasonal drinks always bring a touch of coziness to my day. pumpkin spice latte, here i come!",104,"['starbucks', 'seasonal', 'drinks', 'always', 'bring', 'touch', 'coziness', 'day', 'pumpkin', 'spice', 'latte', 'come']",starbucks seasonal drinks always bring touch coziness day pumpkin spice latte come,starbucks seasonal drinks always bring touch coziness day pumpkin spice latte come,starbucks seasonal drinks always bring touch coziness day pumpkin spice latte come,True,0.0,0.815,0.185,0.3612,positive
2018,Coca-Cola,nothing beats an ice-cold coca-cola on a hot summer day. it's the ultimate thirst quencher.,91,"['nothing', 'beats', 'ice', 'cold', 'coca', 'cola', 'hot', 'summer', 'day', 'ultimate', 'thirst', 'quencher']",nothing beats ice cold coca cola hot summer day ultimate thirst quencher,nothing beats ice cold coca cola hot summer day ultimate thirst quencher,nothing beats ice cold coca cola hot summer day ultimate thirst quencher,True,0.0,1.0,0.0,0.0,neutral
2019,Disney,disney's live-action remakes are incredible. they bring a fresh perspective to beloved classics.,96,"['disney', 'live', 'action', 'remakes', 'incredible', 'bring', 'fresh', 'perspective', 'beloved', 'classics']",disney live action remakes incredible bring fresh perspective beloved classics,disney live action remakes incredible bring fresh perspective beloved classics,disney live action remakes incredible bring fresh perspective beloved classics,True,0.0,0.588,0.412,0.6808,positive
2016,Nike,nike's running shoes are top-notch. they provide excellent support and cushioning.,82,"['nike', 'running', 'shoes', 'top', 'notch', 'provide', 'excellent', 'support', 'cushioning']",nike running shoes top notch provide excellent support cushioning,nike running shoes top notch provide excellent support cushioning,nike running shoes top notch provide excellent support cushioning,True,0.0,0.423,0.577,0.802,positive
2017,PepsiCo,pepsico's marketing campaigns are always creative and engaging. they know how to capture attention.,99,"['pepsico', 'marketing', 'campaigns', 'always', 'creative', 'engaging', 'know', 'capture', 'attention']",pepsico marketing campaigns always creative engaging know capture attention,pepsico marketing campaigns always creative engaging know capture attention,pepsico marketing campaigns always creative engaging know capture attention,True,0.0,0.569,0.431,0.6486,positive
2018,McDonald's,mcdonald's happy meals are a hit with my kids. they love the toys that come with them.,86,"['mcdonald', 'happy', 'meals', 'hit', 'kids', 'love', 'toys', 'come']",mcdonald happy meals hit kids love toys come,mcdonald happy meals hit kids love toys come,mcdonald happy meals hit kids love toys come,True,0.0,0.432,0.568,0.836,positive
2019,Starbucks,"starbucks' rewards program is decent, but i wish they offered more exclusive benefits.",86,"['starbucks', 'rewards', 'program', 'decent', 'wish', 'offered', 'exclusive', 'benefits']",starbucks rewards program decent wish offered exclusive benefits,starbucks rewards program decent wish offered exclusive benefits,starbucks rewards program decent wish offered exclusive benefits,True,0.0,0.288,0.712,0.836,positive
2015,Apple,just got the new iphone and it's amazing! apple never disappoints with their innovative technology.,99,"['got', 'new', 'iphone', 'amazing', 'apple', 'never', 'disappoints', 'innovative', 'technology']",got new iphone amazing apple never disappoints innovative technology,got new iphone amazing apple never disappoints innovative technology,got new iphone amazing apple never disappoints innovative technology,True,0.167,0.417,0.416,0.5541,positive
2016,Ford,considering buying a ford car. any recommendations on the best model for reliability?,85,"['considering', 'buying', 'ford', 'car', 'recommendations', 'best', 'model', 'reliability']",considering buying ford car recommendations best model reliability,considering buying ford car recommendations best model reliability,considering buying ford car recommendations best model reliability,True,0.0,0.625,0.375,0.6369,positive
2017,Netflix,binge-watching my favorite shows on netflix is the best way to spend a lazy sunday.,83,"['binge', 'watching', 'favorite', 'shows', 'netflix', 'best', 'way', 'spend', 'lazy', 'sunday']",binge watching favorite shows netflix best way spend lazy sunday,binge watching favorite shows netflix best way spend lazy sunday,binge watching favorite shows netflix best way spend lazy sunday,True,0.15,0.419,0.431,0.6908,positive
2018,IBM,ibm's advancements in artificial intelligence are impressive. excited to see what they do next.,95,"['ibm', 'advancements', 'artificial', 'intelligence', 'impressive', 'excited', 'see', 'next']",ibm advancements artificial intelligence impressive excited see next,ibm advancements artificial intelligence impressive excited see next,ibm advancements artificial intelligence impressive excited see next,True,0.0,0.362,0.638,0.8316,positive
2019,Google,google's search engine is a lifesaver. it helps me find answers to my questions in seconds.,91,"['google', 'search', 'engine', 'lifesaver', 'helps', 'find', 'answers', 'questions', 'seconds']",google search engine lifesaver helps find answers questions seconds,google search engine lifesaver helps find answers questions seconds,google search engine lifesaver helps find answers questions seconds,True,0.0,0.522,0.478,0.7506,positive
2016,General Motors,had a bad experience with my general motors vehicle. the customer service was unhelpful.,88,"['bad', 'experience', 'general', 'motors', 'vehicle', 'customer', 'service', 'unhelpful']",bad experience general motors vehicle customer service unhelpful,bad experience general motors vehicle customer service unhelpful,bad experience general motors vehicle customer service unhelpful,True,0.333,0.667,0.0,-0.5423,negative
2017,Facebook,facebook's new features make it easier to connect with friends and share special moments.,89,"['facebook', 'new', 'features', 'make', 'easier', 'connect', 'friends', 'share', 'special', 'moments']",facebook new features make easier connect friends share special moments,facebook new features make easier connect friends share special moments,facebook new features make easier connect friends share special moments,True,0.0,0.357,0.643,0.8689,positive
2018,Tesla,just test drove a tesla and i'm blown away. the acceleration and technology are mind-blowing.,93,"['test', 'drove', 'tesla', 'blown', 'away', 'acceleration', 'technology', 'mind', 'blowing']",test drove tesla blown away acceleration technology mind blowing,test drove tesla blown away acceleration technology mind blowing,test drove tesla blown away acceleration technology mind blowing,True,0.0,1.0,0.0,0.0,neutral
2019,Microsoft,microsoft office is essential for my work. it helps me stay organized and productive.,85,"['microsoft', 'office', 'essential', 'work', 'helps', 'stay', 'organized', 'productive']",microsoft office essential work helps stay organized productive,microsoft office essential work helps stay organized productive,microsoft office essential work helps stay organized productive,True,0.0,0.729,0.271,0.3818,positive
2016,General Electric,general electric's appliances are reliable and energy-efficient. they make life easier.,87,"['general', 'electric', 'appliances', 'reliable', 'energy', 'efficient', 'make', 'life', 'easier']",general electric appliances reliable energy efficient make life easier,general electric appliances reliable energy efficient make life easier,general electric appliances reliable energy efficient make life easier,True,0.0,0.438,0.562,0.7717,positive
2017,Facebook,i have mixed feelings about the privacy concerns surrounding facebook. it's a complex issue.,92,"['mixed', 'feelings', 'privacy', 'concerns', 'surrounding', 'facebook', 'complex', 'issue']",mixed feelings privacy concerns surrounding facebook complex issue,mixed feelings privacy concerns surrounding facebook complex issue,mixed feelings privacy concerns surrounding facebook complex issue,True,0.0,1.0,0.0,0.0,neutral
2018,Tesla,disappointed with the quality of tesla's customer service. they need to improve their response times.,101,"['disappointed', 'quality', 'tesla', 'customer', 'service', 'need', 'improve', 'response', 'times']",disappointed quality tesla customer service need improve response times,disappointed quality tesla customer service need improve response times,disappointed quality tesla customer service need improve response times,True,0.238,0.538,0.223,-0.0516,negative
2019,Microsoft,microsoft's surface pro is a versatile device that combines the power of a laptop with the convenience of a tablet.,115,"['microsoft', 'surface', 'pro', 'versatile', 'device', 'combines', 'power', 'laptop', 'convenience', 'tablet']",microsoft surface pro versatile device combines power laptop convenience tablet,microsoft surface pro versatile device combines power laptop convenience tablet,microsoft surface pro versatile device combines power laptop convenience tablet,True,0.0,1.0,0.0,0.0,neutral
2016,Intel,intel's processors are the backbone of my computer. they deliver exceptional performance.,89,"['intel', 'processors', 'backbone', 'computer', 'deliver', 'exceptional', 'performance']",intel processors backbone computer deliver exceptional performance,intel processors backbone computer deliver exceptional performance,intel processors backbone computer deliver exceptional performance,True,0.0,1.0,0.0,0.0,neutral
2017,Amazon,amazon's prime delivery is a game-changer. i love the fast shipping and exclusive perks.,88,"['amazon', 'prime', 'delivery', 'game', 'changer', 'love', 'fast', 'shipping', 'exclusive', 'perks']",amazon prime delivery game changer love fast shipping exclusive perks,amazon prime delivery game changer love fast shipping exclusive perks,amazon prime delivery game changer love fast shipping exclusive perks,True,0.0,0.486,0.514,0.7506,positive
2018,Twitter,twitter's handling of online harassment is disappointing. they need to do more to combat it.,92,"['twitter', 'handling', 'online', 'harassment', 'disappointing', 'need', 'combat']",twitter handling online harassment disappointing need combat,twitter handling online harassment disappointing need combat,twitter handling online harassment disappointing need combat,True,0.695,0.305,0.0,-0.8442,negative
2019,Netflix,netflix's original series are top-notch. they never fail to captivate and entertain.,84,"['netflix', 'original', 'series', 'top', 'notch', 'never', 'fail', 'captivate', 'entertain']",netflix original series top notch never fail captivate entertain,netflix original series top notch never fail captivate entertain,netflix original series top notch never fail captivate entertain,True,0.141,0.359,0.5,0.6108,positive
2016,Intel,intel's new chip architecture is a game-changer for the tech industry. it raises the bar for performance.,105,"['intel', 'new', 'chip', 'architecture', 'game', 'changer', 'tech', 'industry', 'raises', 'bar', 'performance']",intel new chip architecture game changer tech industry raises bar performance,intel new chip architecture game changer tech industry raises bar performance,intel new chip architecture game changer tech industry raises bar performance,True,0.0,1.0,0.0,0.0,neutral
2017,Amazon,amazon's echo device is so convenient. i love having alexa help me with tasks and answer questions.,99,"['amazon', 'echo', 'device', 'convenient', 'love', 'alexa', 'help', 'tasks', 'answer', 'questions']",amazon echo device convenient love alexa help tasks answer questions,amazon echo device convenient love alexa help tasks answer questions,amazon echo device convenient love alexa help tasks answer questions,True,0.0,0.449,0.551,0.8225,positive
2018,Twitter,i'm still undecided about whether twitter is the right social media platform for me.,84,"['still', 'undecided', 'whether', 'twitter', 'right', 'social', 'media', 'platform']",still undecided whether twitter right social media platform,still undecided whether twitter right social media platform,still undecided whether twitter right social media platform,True,0.213,0.787,0.0,-0.2263,negative
2019,Netflix,netflix's documentary collection is impressive. i've learned so much from their thought-provoking content.,106,"['netflix', 'documentary', 'collection', 'impressive', 'learned', 'much', 'thought', 'provoking', 'content']",netflix documentary collection impressive learned much thought provoking content,netflix documentary collection impressive learned much thought provoking content,netflix documentary collection impressive learned much thought provoking content,True,0.149,0.579,0.273,0.3612,positive
2015,Uber,"just had the best uber ride ever! the driver was friendly, and the car was clean and comfortable.",97,"['best', 'uber', 'ride', 'ever', 'driver', 'friendly', 'car', 'clean', 'comfortable']",best uber ride ever driver friendly car clean comfortable,best uber ride ever driver friendly car clean comfortable,best uber ride ever driver friendly car clean comfortable,True,0.0,0.272,0.728,0.9246,positive
2016,Airbnb,had an amazing stay at an airbnb property. it felt like a home away from home.,78,"['amazing', 'stay', 'airbnb', 'property', 'felt', 'like', 'home', 'away', 'home']",amazing stay airbnb property felt like home away home,amazing stay airbnb property felt like home away home,amazing stay airbnb property felt like home away home,True,0.0,0.526,0.474,0.743,positive
2017,Slack,slack has revolutionized communication at our startup. it's made collaboration so much easier.,94,"['slack', 'revolutionized', 'communication', 'startup', 'made', 'collaboration', 'much', 'easier']",slack revolutionized communication startup made collaboration much easier,slack revolutionized communication startup made collaboration much easier,slack revolutionized communication startup made collaboration much easier,True,0.0,0.714,0.286,0.4215,positive
2018,WeWork,experiencing issues with our wework office space. the amenities promised are not up to par.,91,"['experiencing', 'issues', 'wework', 'office', 'space', 'amenities', 'promised', 'par']",experiencing issues wework office space amenities promised par,experiencing issues wework office space amenities promised par,experiencing issues wework office space amenities promised par,True,0.0,0.737,0.263,0.3612,positive
2019,Robinhood,robinhood's commission-free trading is a game-changer. it's made investing accessible to everyone.,98,"['robinhood', 'commission', 'free', 'trading', 'game', 'changer', 'made', 'investing', 'accessible', 'everyone']",robinhood commission free trading game changer made investing accessible everyone,robinhood commission free trading game changer made investing accessible everyone,robinhood commission free trading game changer made investing accessible everyone,True,0.0,0.732,0.268,0.5106,positive
2016,Snapchat,snapchat's filters are so much fun. they add a creative touch to my photos and videos.,86,"['snapchat', 'filters', 'much', 'fun', 'add', 'creative', 'touch', 'photos', 'videos']",snapchat filters much fun add creative touch photos videos,snapchat filters much fun add creative touch photos videos,snapchat filters much fun add creative touch photos videos,True,0.0,0.53,0.47,0.7351,positive
2017,SpaceX,spacex's successful rocket launch was a historic moment. it's incredible to witness their advancements in space exploration.,124,"['spacex', 'successful', 'rocket', 'launch', 'historic', 'moment', 'incredible', 'witness', 'advancements', 'space', 'exploration']",spacex successful rocket launch historic moment incredible witness advancements space exploration,spacex successful rocket launch historic moment incredible witness advancements space exploration,spacex successful rocket launch historic moment incredible witness advancements space exploration,True,0.0,0.612,0.388,0.6908,positive
2018,Palantir,"not sure what to make of palantir's data analysis software. it's complex, but it has potential.",95,"['sure', 'make', 'palantir', 'data', 'analysis', 'software', 'complex', 'potential']",sure make palantir data analysis software complex potential,sure make palantir data analysis software complex potential,sure make palantir data analysis software complex potential,True,0.0,0.753,0.247,0.3182,positive
2019,Stripe,stripe's payment processing system is seamless. it has made online transactions smooth and secure.,98,"['stripe', 'payment', 'processing', 'system', 'seamless', 'made', 'online', 'transactions', 'smooth', 'secure']",stripe payment processing system seamless made online transactions smooth secure,stripe payment processing system seamless made online transactions smooth secure,stripe payment processing system seamless made online transactions smooth secure,True,0.0,0.789,0.211,0.34,positive
2016,Slack,slack's integrations with other tools have improved our team's productivity. it's a must-have for remote collaboration.,119,"['slack', 'integrations', 'tools', 'improved', 'team', 'productivity', 'must', 'remote', 'collaboration']",slack integrations tools improved team productivity must remote collaboration,slack integrations tools improved team productivity must remote collaboration,slack integrations tools improved team productivity must remote collaboration,True,0.0,0.721,0.279,0.4767,positive
2017,WeWork,our experience with wework's customer service has been disappointing. they're slow to address our concerns.,107,"['experience', 'wework', 'customer', 'service', 'disappointing', 'slow', 'address', 'concerns']",experience wework customer service disappointing slow address concerns,experience wework customer service disappointing slow address concerns,experience wework customer service disappointing slow address concerns,True,0.314,0.686,0.0,-0.4939,negative
2018,Robinhood,"robinhood's user-friendly interface makes investing simple, even for beginners like me.",87,"['robinhood', 'user', 'friendly', 'interface', 'makes', 'investing', 'simple', 'even', 'beginners', 'like']",robinhood user friendly interface makes investing simple even beginners like,robinhood user friendly interface makes investing simple even beginners like,robinhood user friendly interface makes investing simple even beginners like,True,0.0,0.584,0.416,0.6908,positive
2019,Snapchat,snapchat's discover feature keeps me up to date with the latest news and entertainment.,87,"['snapchat', 'discover', 'feature', 'keeps', 'date', 'latest', 'news', 'entertainment']",snapchat discover feature keeps date latest news entertainment,snapchat discover feature keeps date latest news entertainment,snapchat discover feature keeps date latest news entertainment,True,0.0,0.714,0.286,0.4215,positive
2016,SpaceX,spacex's vision for colonizing mars is awe-inspiring. they're pushing the boundaries of space exploration.,106,"['spacex', 'vision', 'colonizing', 'mars', 'awe', 'inspiring', 'pushing', 'boundaries', 'space', 'exploration']",spacex vision colonizing mars awe inspiring pushing boundaries space exploration,spacex vision colonizing mars awe inspiring pushing boundaries space exploration,spacex vision colonizing mars awe inspiring pushing boundaries space exploration,True,0.0,0.511,0.489,0.6908,positive
2017,Palantir,palantir's data analytics tools have helped us uncover valuable insights and make informed decisions.,101,"['palantir', 'data', 'analytics', 'tools', 'helped', 'us', 'uncover', 'valuable', 'insights', 'make', 'informed', 'decisions']",palantir data analytics tools helped uncover valuable insights make informed decisions,palantir data analytics tools helped uncover valuable insights make informed decisions,palantir data analytics tools helped uncover valuable insights make informed decisions,True,0.0,0.763,0.237,0.4767,positive
2018,Stripe,stripe's developer-friendly apis have made it easy to integrate payment processing into our app.,96,"['stripe', 'developer', 'friendly', 'apis', 'made', 'easy', 'integrate', 'payment', 'processing', 'app']",stripe developer friendly apis made easy integrate payment processing app,stripe developer friendly apis made easy integrate payment processing app,stripe developer friendly apis made easy integrate payment processing app,True,0.0,0.567,0.433,0.7269,positive
2019,Uber,uber's reliability and convenience have made it my go-to choice for transportation.,83,"['uber', 'reliability', 'convenience', 'made', 'go', 'choice', 'transportation']",uber reliability convenience made choice transportation,uber reliability convenience made choice transportation,uber reliability convenience made choice transportation,True,0.0,1.0,0.0,0.0,neutral
2016,Airbnb,airbnb's platform has allowed me to discover unique accommodations and have memorable travel experiences.,105,"['airbnb', 'platform', 'allowed', 'discover', 'unique', 'accommodations', 'memorable', 'travel', 'experiences']",airbnb platform allowed discover unique accommodations memorable travel experiences,airbnb platform allowed discover unique accommodations memorable travel experiences,airbnb platform allowed discover unique accommodations memorable travel experiences,True,0.0,1.0,0.0,0.0,neutral
2017,Slack,slack's ability to organize conversations into channels has streamlined our team's communication.,97,"['slack', 'ability', 'organize', 'conversations', 'channels', 'streamlined', 'team', 'communication']",slack ability organize conversations channels streamlined team communication,slack ability organize conversations channels streamlined team communication,slack ability organize conversations channels streamlined team communication,True,0.0,0.753,0.247,0.3182,positive
2018,WeWork,wework's recent financial troubles have raised concerns about the stability of their business model.,100,"['wework', 'recent', 'financial', 'troubles', 'raised', 'concerns', 'stability', 'business', 'model']",wework recent financial troubles raised concerns stability business model,wework recent financial troubles raised concerns stability business model,wework recent financial troubles raised concerns stability business model,True,0.273,0.727,0.0,-0.4588,negative
2019,Robinhood,robinhood's educational resources have helped me understand investing better and make informed decisions.,105,"['robinhood', 'educational', 'resources', 'helped', 'understand', 'investing', 'better', 'make', 'informed', 'decisions']",robinhood educational resources helped understand investing better make informed decisions,robinhood educational resources helped understand investing better make informed decisions,robinhood educational resources helped understand investing better make informed decisions,True,0.0,0.756,0.244,0.4404,positive
2015,Shopify,just set up my online store on shopify. the platform is user-friendly and offers great customization options.,109,"['set', 'online', 'store', 'shopify', 'platform', 'user', 'friendly', 'offers', 'great', 'customization', 'options']",set online store shopify platform user friendly offers great customization options,set online store shopify platform user friendly offers great customization options,set online store shopify platform user friendly offers great customization options,True,0.0,0.552,0.448,0.8074,positive
2016,Square,using square for my small business has made accepting payments so much easier. it's convenient and reliable.,108,"['using', 'square', 'small', 'business', 'made', 'accepting', 'payments', 'much', 'easier', 'convenient', 'reliable']",using square small business made accepting payments much easier convenient reliable,using square small business made accepting payments much easier convenient reliable,using square small business made accepting payments much easier convenient reliable,True,0.0,0.625,0.375,0.6597,positive
2017,Twilio,twilio's communication apis have enhanced our customer engagement. it's a powerful tool for developers.,103,"['twilio', 'communication', 'apis', 'enhanced', 'customer', 'engagement', 'powerful', 'tool', 'developers']",twilio communication apis enhanced customer engagement powerful tool developers,twilio communication apis enhanced customer engagement powerful tool developers,twilio communication apis enhanced customer engagement powerful tool developers,True,0.0,0.547,0.453,0.7003,positive
2018,MongoDB,"switched to mongodb for our database needs, and the performance improvement is remarkable. highly recommend!",108,"['switched', 'mongodb', 'database', 'needs', 'performance', 'improvement', 'remarkable', 'highly', 'recommend']",switched mongodb database needs performance improvement remarkable highly recommend,switched mongodb database needs performance improvement remarkable highly recommend,switched mongodb database needs performance improvement remarkable highly recommend,True,0.0,0.39,0.61,0.8553,positive
2019,Zoom,zoom has been a game-changer for remote meetings. the video and audio quality are top-notch.,92,"['zoom', 'game', 'changer', 'remote', 'meetings', 'video', 'audio', 'quality', 'top', 'notch']",zoom game changer remote meetings video audio quality top notch,zoom game changer remote meetings video audio quality top notch,zoom game changer remote meetings video audio quality top notch,True,0.0,0.833,0.167,0.2023,positive
2016,Atlassian,atlassian's suite of collaboration tools has improved our team's efficiency. jira and confluence are indispensable.,115,"['atlassian', 'suite', 'collaboration', 'tools', 'improved', 'team', 'efficiency', 'jira', 'confluence', 'indispensable']",atlassian suite collaboration tools improved team efficiency jira confluence indispensable,atlassian suite collaboration tools improved team efficiency jira confluence indispensable,atlassian suite collaboration tools improved team efficiency jira confluence indispensable,True,0.0,0.588,0.412,0.6808,positive
2017,Zscaler,zscaler's cloud security platform provides robust protection for our network. it gives us peace of mind.,104,"['zscaler', 'cloud', 'security', 'platform', 'provides', 'robust', 'protection', 'network', 'gives', 'us', 'peace', 'mind']",zscaler cloud security platform provides robust protection network gives peace mind,zscaler cloud security platform provides robust protection network gives peace mind,zscaler cloud security platform provides robust protection network gives peace mind,True,0.0,0.491,0.509,0.8074,positive
2018,Okta,okta's identity and access management solutions have simplified our authentication processes. it's reliable and secure.,119,"['okta', 'identity', 'access', 'management', 'solutions', 'simplified', 'authentication', 'processes', 'reliable', 'secure']",okta identity access management solutions simplified authentication processes reliable secure,okta identity access management solutions simplified authentication processes reliable secure,okta identity access management solutions simplified authentication processes reliable secure,True,0.0,0.661,0.339,0.4767,positive
2019,CrowdStrike,crowdstrike's cybersecurity services have been instrumental in safeguarding our systems from threats.,101,"['crowdstrike', 'cybersecurity', 'services', 'instrumental', 'safeguarding', 'systems', 'threats']",crowdstrike cybersecurity services instrumental safeguarding systems threats,crowdstrike cybersecurity services instrumental safeguarding systems threats,crowdstrike cybersecurity services instrumental safeguarding systems threats,True,0.283,0.505,0.212,-0.1779,negative
2016,Datadog,datadog's monitoring and analytics platform gives us valuable insights into our application's performance.,106,"['datadog', 'monitoring', 'analytics', 'platform', 'gives', 'us', 'valuable', 'insights', 'application', 'performance']",datadog monitoring analytics platform gives valuable insights application performance,datadog monitoring analytics platform gives valuable insights application performance,datadog monitoring analytics platform gives valuable insights application performance,True,0.0,0.721,0.279,0.4767,positive
2017,Elastic,"elasticsearch has revolutionized our search capabilities. it's fast, scalable, and easy to use.",95,"['elasticsearch', 'revolutionized', 'search', 'capabilities', 'fast', 'scalable', 'easy', 'use']",elasticsearch revolutionized search capabilities fast scalable easy use,elasticsearch revolutionized search capabilities fast scalable easy use,elasticsearch revolutionized search capabilities fast scalable easy use,True,0.0,0.707,0.293,0.4404,positive
